Date,Open,High,Low,Close,Volume
2020-10-06,1739.86,1749.28,1733.17,1735.45,26458687
2020-10-07,1736.62,1741.18,1715.75,1736.61,23829671
2020-10-08,1742.29,1746.68,1711.56,1719.91,22047535
2020-10-09,1718.45,1718.45,1679.01,1698.91,27423797
2020-10-12,1701.76,1707.3,1681.87,1683.21,25089668
2020-10-13,1685.25,1685.25,1659.1,1660.12,26031951
2020-10-14,1658.04,1691.64,1657.9,1670.26,33451091
2020-10-15,1660.64,1660.64,1625.1,1627.59,31769308
2020-10-16,1635.02,1665.8,1635.02,1655.36,37750985
2020-10-19,1663.75,1681.74,1640.82,1648.11,22941451
